Rank,State/Region,Category,Global Ranking,Signature Dishes,Signature Beverages,Popularity Score,Key Recognition
1,Punjab,Most Popular,7th (TasteAtlas),"Butter Chicken, Amritsari Kulcha, Tandoori Murgh, Sarson da Saag, Makki di Roti","Lassi, Mango Lassi",95,"Highest-ranked Indian region globally, International fame"
2,Maharashtra,Most Popular,41st (TasteAtlas),"Vada Pav, Pav Bhaji, Misal Pav, Puran Poli, Modak",Kokum Sharbat,92,Mumbai ranked 5th best food city globally
3,Delhi,Most Popular,45th (TasteAtlas),"Chole Bhature, Butter Chicken, Parathas, Kebabs, Chaat",Masala Chai,90,"Food capital of India, Street food paradise"
4,"South India (Tamil Nadu, Kerala, Karnataka, Andhra, Telangana)",Most Popular,26th & 59th (TasteAtlas),"Dosa, Idli, Hyderabadi Biryani, Sambar, Appam, Chettinad Chicken","Filter Coffee, Neera",90,"Hyderabad (50th), Chennai (75th) in global city rankings"
5,West Bengal,Most Popular,54th (TasteAtlas),"Rasgulla, Mishti Doi, Macher Jhol, Shorshe Ilish, Sandesh",Cholai (rice beer),88,"Kolkata ranked 71st globally, Famous for sweets"
6,Goa,Most Popular,High National Recognition,"Vindaloo, Fish Curry, Bebinca, Prawn Balchão, Xacuti",Fenny,85,"Portuguese-Indian fusion, International tourist appeal"
7,Gujarat,Most Popular,High National Recognition,"Dhokla, Khandvi, Thepla, Handvo, Fafda-Jalebi","Pannah (Aam Panna), Chaas",83,"Vegetarian paradise, Sweet-savory balance"
8,Rajasthan,Most Popular,High National Recognition,"Dal Baati Churma, Laal Maas, Gatte ki Sabzi, Ker Sangari",Kesar Kasturi,82,"Royal heritage cuisine, Rich flavors"
9,Kerala,Moderately Popular,National Recognition,"Appam with Stew, Kerala Sadya, Fish Moilee, Puttu-Kadala, Karimeen",Kallu (Toddy),80,"Coastal flavors, Coconut-based cuisine"
10,Uttar Pradesh,Moderately Popular,National Recognition,"Awadhi Biryani, Kebabs, Tunday Kababi, Baigan ki Longe, Lucknowi Korma",Thandai,78,"Nawabi cuisine, Lucknow culinary heritage"
